option,1A,1B,1D,1E,1G,1I,1K,1L,third_groups_key
398,3E,3J,3B,3C,3A,3G,3L,3I,ABCEGIJL
399,3E,3J,3B,3C,3A,3G,3I,3K,ABCEGIJK
400,3E,3G,3B,3C,3A,3H,3L,3K,ABCEGHKL
401,3H,3J,3B,3C,3A,3G,3L,3E,ABCEGHJL
402,3H,3J,3B,3C,3A,3G,3E,3K,ABCEGHJK
403,3E,3G,3B,3C,3A,3H,3L,3I,ABCEGHIL
404,3E,3G,3B,3C,3A,3H,3I,3K,ABCEGHIK
405,3H,3J,3B,3C,3A,3G,3E,3I,ABCEGHIJ
406,3E,3J,3B,3C,3A,3F,3L,3K,ABCEFJKL
407,3E,3I,3B,3C,3A,3F,3L,3K,ABCEFIKL
408,3E,3J,3B,3C,3A,3F,3L,3I,ABCEFIJL
409,3E,3J,3B,3C,3A,3F,3I,3K,ABCEFIJK
410,3H,3E,3B,3C,3A,3F,3L,3K,ABCEFHKL
411,3H,3J,3B,3C,3A,3F,3L,3E,ABCEFHJL
412,3H,3J,3B,3C,3A,3F,3E,3K,ABCEFHJK
413,3H,3E,3B,3C,3A,3F,3L,3I,ABCEFHIL
414,3H,3E,3B,3C,3A,3F,3I,3K,ABCEFHIK
415,3H,3J,3B,3C,3A,3F,3E,3I,ABCEFHIJ
416,3E,3G,3B,3C,3A,3F,3L,3K,ABCEFGKL
417,3E,3G,3B,3C,3A,3F,3L,3J,ABCEFGJL
418,3E,3G,3B,3C,3A,3F,3J,3K,ABCEFGJK
419,3E,3G,3B,3C,3A,3F,3L,3I,ABCEFGIL
420,3E,3G,3B,3C,3A,3F,3I,3K,ABCEFGIK
421,3E,3G,3B,3C,3A,3F,3I,3J,ABCEFGIJ
422,3H,3G,3B,3C,3A,3F,3L,3E,ABCEFGHL
423,3H,3G,3B,3C,3A,3F,3E,3K,ABCEFGHK
424,3H,3G,3B,3C,3A,3F,3E,3J,ABCEFGHJ
425,3H,3G,3B,3C,3A,3F,3E,3I,ABCEFGHI
426,3I,3J,3B,3C,3A,3D,3L,3K,ABCDIJKL
427,3H,3J,3B,3C,3A,3D,3L,3K,ABCDHJKL
428,3H,3I,3B,3C,3A,3D,3L,3K,ABCDHIKL
429,3H,3J,3B,3C,3A,3D,3L,3I,ABCDHIJL
430,3H,3J,3B,3C,3A,3D,3I,3K,ABCDHIJK
431,3C,3J,3B,3D,3A,3G,3L,3K,ABCDGJKL
432,3I,3G,3B,3C,3A,3D,3L,3K,ABCDGIKL
433,3C,3J,3B,3D,3A,3G,3L,3I,ABCDGIJL
434,3C,3J,3B,3D,3A,3G,3I,3K,ABCDGIJK
435,3H,3G,3B,3C,3A,3D,3L,3K,ABCDGHKL
436,3H,3G,3B,3C,3A,3D,3L,3J,ABCDGHJL
437,3H,3G,3B,3C,3A,3D,3J,3K,ABCDGHJK
438,3H,3G,3B,3C,3A,3D,3L,3I,ABCDGHIL
439,3H,3G,3B,3C,3A,3D,3I,3K,ABCDGHIK
440,3H,3G,3B,3C,3A,3D,3I,3J,ABCDGHIJ
441,3C,3J,3B,3D,3A,3F,3L,3K,ABCDFJKL
442,3C,3I,3B,3D,3A,3F,3L,3K,ABCDFIKL
443,3C,3J,3B,3D,3A,3F,3L,3I,ABCDFIJL
444,3C,3J,3B,3D,3A,3F,3I,3K,ABCDFIJK
445,3H,3F,3B,3C,3A,3D,3L,3K,ABCDFHKL
446,3C,3J,3B,3D,3A,3F,3L,3H,ABCDFHJL
447,3H,3J,3B,3C,3A,3F,3D,3K,ABCDFHJK
448,3H,3F,3B,3C,3A,3D,3L,3I,ABCDFHIL
449,3H,3F,3B,3C,3A,3D,3I,3K,ABCDFHIK
450,3H,3J,3B,3C,3A,3F,3D,3I,ABCDFHIJ
451,3C,3G,3B,3D,3A,3F,3L,3K,ABCDFGKL
452,3C,3G,3B,3D,3A,3F,3L,3J,ABCDFGJL
453,3C,3G,3B,3D,3A,3F,3J,3K,ABCDFGJK
454,3C,3G,3B,3D,3A,3F,3L,3I,ABCDFGIL
455,3C,3G,3B,3D,3A,3F,3I,3K,ABCDFGIK
456,3C,3G,3B,3D,3A,3F,3I,3J,ABCDFGIJ
457,3C,3G,3B,3D,3A,3F,3L,3H,ABCDFGHL
458,3H,3G,3B,3C,3A,3F,3D,3K,ABCDFGHK
459,3H,3G,3B,3C,3A,3F,3D,3J,ABCDFGHJ
460,3H,3G,3B,3C,3A,3F,3D,3I,ABCDFGHI
461,3E,3J,3B,3C,3A,3D,3L,3K,ABCDEJKL
462,3E,3I,3B,3C,3A,3D,3L,3K,ABCDEIKL
463,3E,3J,3B,3C,3A,3D,3L,3I,ABCDEIJL
464,3E,3J,3B,3C,3A,3D,3I,3K,ABCDEIJK
465,3H,3E,3B,3C,3A,3D,3L,3K,ABCDEHKL
466,3H,3J,3B,3C,3A,3D,3L,3E,ABCDEHJL
467,3H,3J,3B,3C,3A,3D,3E,3K,ABCDEHJK
468,3H,3E,3B,3C,3A,3D,3L,3I,ABCDEHIL
469,3H,3E,3B,3C,3A,3D,3I,3K,ABCDEHIK
470,3H,3J,3B,3C,3A,3D,3E,3I,ABCDEHIJ
471,3E,3G,3B,3C,3A,3D,3L,3K,ABCDEGKL
472,3E,3G,3B,3C,3A,3D,3L,3J,ABCDEGJL
473,3E,3G,3B,3C,3A,3D,3J,3K,ABCDEGJK
474,3E,3G,3B,3C,3A,3D,3L,3I,ABCDEGIL
475,3E,3G,3B,3C,3A,3D,3I,3K,ABCDEGIK
476,3E,3G,3B,3C,3A,3D,3I,3J,ABCDEGIJ
477,3H,3G,3B,3C,3A,3D,3L,3E,ABCDEGHL
478,3H,3G,3B,3C,3A,3D,3E,3K,ABCDEGHK
479,3H,3G,3B,3C,3A,3D,3E,3J,ABCDEGHJ
480,3H,3G,3B,3C,3A,3D,3E,3I,ABCDEGHI
481,3C,3E,3B,3D,3A,3F,3L,3K,ABCDEFKL
482,3C,3J,3B,3D,3A,3F,3L,3E,ABCDEFJL
483,3C,3J,3B,3D,3A,3F,3E,3K,ABCDEFJK
484,3C,3E,3B,3D,3A,3F,3L,3I,ABCDEFIL
485,3C,3E,3B,3D,3A,3F,3I,3K,ABCDEFIK
486,3C,3J,3B,3D,3A,3F,3E,3I,ABCDEFIJ
487,3H,3F,3B,3C,3A,3D,3L,3E,ABCDEFHL
488,3H,3E,3B,3C,3A,3F,3D,3K,ABCDEFHK
489,3H,3J,3B,3C,3A,3F,3D,3E,ABCDEFHJ
490,3H,3E,3B,3C,3A,3F,3D,3I,ABCDEFHI
491,3C,3G,3B,3D,3A,3F,3L,3E,ABCDEFGL
492,3C,3G,3B,3D,3A,3F,3E,3K,ABCDEFGK
493,3C,3G,3B,3D,3A,3F,3E,3J,ABCDEFGJ
494,3C,3G,3B,3D,3A,3F,3E,3I,ABCDEFGI
495,3H,3G,3B,3C,3A,3F,3D,3E,ABCDEFGH
